# Directed graph (each unordered pair of nodes is saved once): CA-GrQc.txt 
# Collaboration network of Arxiv General Relativity category (there is an edge if authors coauthored at least one paper)
# Nodes: 5242 Edges: 28980
# FromNodeId	ToNodeId
3466	937
3466	5233
3466	8579
3466	10310
3466	15931 
10310	16310
10310	19640
10310	23855
10310	24372
10310	24814
5052	4472
5052	5346
5052	5740
6700	18487
6700	19640
6700	20644
6700	22497
6700	22779
6700	23293
6700	23382
6700	23387
6700	23907
6700	24924
6700	25080
11082	824
11082	2133
11082	4846
11082	6610
11082	6700
11082	12928
11082	14419
11082	16258
14419	19423
14419	21281
17330	6700
17330	11082
17330	12928
17330	14419
18487	3164
18487	3890
18487	4846
23382	12928
23382	12980
23382	13364
16083	15123
16083	15814
16083	17932
2127	11712
11712	2127
11712	10762
10762	2591
10762	14351
10762	25698
13847	3032
13847	3412
13847	7615
17207	10762
7689	1620
7689	3310
7689	3909
7689	3922
19048	20182
26088	19048
2770	6806
2770	9432
2770	12654
2770	14033
14033	2770
14033	6806
14033	9432
5787	10942
5787	11806
24240	12187
24240	13153
24240	14345
10081	3185
13291	20547
13291	20792
7885	19551
7885	22190
19551	7885
4416	3618
4416	3630
17414	11026
17414	12639
17414	25378
7801	3631
18521	16056
18521	23901
18521	25316
18271	2511
13702	17874
13702	18271
13702	19978
17874	199
17874	6482
17874	13702
17874	18227
17874	18271
17874	24148
45	570
45	773
4511	23293
4511	24955
4511	25346
4511	25758
23063	9616
23063	11733
9616	3561
9616	9943
9616	10096
17746	25729
25729	11318
25729	11325
21281	2212
21281	2741
21281	2952
21281	3063
21281	3372
23293	15003
23293	15659
23293	16032
23293	17655
22917	17131
22917	17439
22917	20478
20940	15161
20940	20949
20940	22879
22879	18215
22879	19051
2656	14560
2656	24251
14560	2656
14560	24251
24251	2656
24251	14560
22832	1941
22832	7350
4351	1098
4351	2912
3630	16817
3630	23939
7715	3630
7715	13142
16703	13202
16703	16703
16703	22253
22253	4128
22253	16703
5738	5478
5738	6538
5738	8349
11604	16083
11604	17932
615	2846
25286	23841
25034	851
25034	1674
25034	2713
25034	3265
25034	9184
20373	1341
20373	1408
20373	15479
20373	16332
20373	17559
20373	18736
20373	19568
20373	19940
20373	21646
20373	23204
20373	25034
12927	853
12927	2072
12927	2368
22790	14924
22790	16994
22790	17911
22790	18940
22790	23681
22790	23727
20635	45
20635	6179
20635	6610
20635	6830
20635	7956
20635	8879
20635	9785
20635	11241
20635	11472
20635	12365
20635	12496
20635	12781
20635	12851
23909	3593
3821	4798
12545	676
12545	2169
9974	269
9974	1217
9974	6629
9974	25648
8047	3345
8047	22644
4013	3948
4013	7154
4013	8786
4013	10878
4013	14078
4013	16640
4013	20059
14599	12806
14599	13096
17979	22393
17235	5731
17235	13635
4650	6280
4650	14952
6806	2770
6806	14033
23394	18791
23394	23653
23394	23665
16333	4241
12287	15455
12287	17075
12287	20827
23477	8666
23477	9241
5225	3849
5225	7010
5225	7506
2490	5570
2490	11227
2490	11447
3193	2490
3193	4371
3193	5862
3193	7959
3193	17113
3193	24183
3193	26004
5134	773
5134	1234
5134	14807
5134	21012
5134	22691
5134	23452
5134	25053
3372	45
3372	7956
3372	8879
3372	9785
3372	11241
3372	11472
3372	12365
3372	12496
3372	12781
3372	12851
3372	13060
3372	14540
3372	14807
3372	15003
3372	15659
3372	17655
3372	17692
3372	18894
3372	19423
3372	19961
3372	20108
3372	20562
3372	20635
3372	21012
3372	21281
3372	21508
3372	21847
23452	1234
23452	2980
23452	3372
23452	5134
23452	6774
2404	24955
22421	869
22421	2404
9283	25143
12639	10456
12639	17414
25916	2710
25916	19207
25916	19580
25916	22721
3849	3988
3849	5225
1520	23351
13385	18051
4017	7888
4017	17291
7888	4017
593	16778
593	16888
593	18051
593	20808
593	21815
593	23896
12627	593
12627	1008
12627	2185
12627	7893
12627	8369
12627	11824
22108	11293
22108	21777
22108	23555
10597	1985
10597	5052
10597	9124
10597	9763
10597	16741
10597	21657
