# Directed graph (each unordered pair of nodes is saved once): CA-GrQc.txt 
# Collaboration network of Arxiv General Relativity category (there is an edge if authors coauthored at least one paper)
# Nodes: 5242 Edges: 28980
# FromNodeId	ToNodeId
3466	937
3466	5233
3466	8579
3466	10310
3466	15931 
10310	16310
10310	19640
10310	23855
10310	24372
10310	24814
5052	4472
5052	5346
5052	5740
6700	18487
6700	19640
6700	20644
6700	22497
6700	22779
6700	23293
6700	23382
6700	23387
6700	23907
6700	24924
6700	25080
11082	824
11082	2133
11082	4846
11082	6610
11082	6700
11082	12928
11082	14419
11082	16258
14419	19423
14419	21281
14419	22779
14419	23382
17330	824
17330	1339
17330	2133
17330	3164
17330	4846
17330	6610
17330	6700
17330	11082
17330	12928
17330	14419
18487	3164
18487	3890
18487	4846
18487	5621
18487	6610
18487	6700
18487	8824
18487	11082
18487	11613
18487	12306
23382	9755
23382	11082
23382	11132
23382	11402
23382	12928
23382	12980
23382	13364
23382	14419
16083	4515
16083	5773
16083	8612
16083	11604
16083	15123
16083	15814
16083	17932
2127	11712
11712	2127
11712	10762
11712	10871
11712	15829
11712	16106
10762	624
10762	894
10762	2591
10762	14351
10762	25698
13847	3032
13847	3412
13847	7615
13847	10762
13847	10871
13847	17207
13847	24371
17207	3096
17207	3412
17207	5934
17207	10762
7689	1620
7689	3310
7689	3909
7689	3922
19048	20182
19048	20765
19048	26088
26088	2326
26088	2563
26088	8437
26088	10211
26088	10931
26088	12071
26088	15300
26088	19048
2770	6806
2770	9432
2770	12654
2770	14033
14033	2770
14033	6806
14033	9432
5787	10942
5787	11806
24240	12187
24240	13153
24240	14345
10081	3185
10081	8666
10081	13291
10081	20547
10081	20792
13291	10081
13291	20547
13291	20792
7885	19551
7885	22190
19551	7885
19551	9758
19551	17006
4416	1859
4416	2155
4416	3618
4416	3630
17414	11026
17414	12639
17414	25378
7801	3631
18521	16056
18521	23901
18521	25316
18271	2511
13702	17874
13702	18271
13702	19978
17874	199
17874	6482
17874	13702
17874	18227
17874	18271
17874	24148
45	570
45	773
45	18719
45	18866
45	18894
45	19423
45	19961
45	20108
4511	2212
4511	2741
4511	21847
4511	22887
4511	23293
4511	24955
4511	25346
4511	25758
23063	9616
23063	11733
9616	3561
9616	9943
9616	10096
9616	11629
9616	11733
9616	17099
9616	21407
9616	23063
11325	11318
11325	12720
11325	12733
11325	16324
11325	17746
11325	25729
17746	9710
17746	10463
17746	11325
17746	12743
17746	21712
17746	25729
25729	11318
25729	11325
21281	2212
21281	2741
21281	2952
21281	3063
21281	3372
21281	3502
21281	4164
21281	4446
21281	4511
21281	4513
21281	5639
21281	6009
21281	20116
21281	20562
21281	20635
21281	20644
21281	21012
21281	21379
23293	9572
23293	9785
23293	11241
23293	11472
23293	12365
23293	12496
23293	12781
23293	12851
23293	14540
23293	14807
23293	15003
23293	15659
23293	16032
23293	17655
23293	17692
23293	18174
23293	18894
23293	19423
23293	19961
23293	20108
23293	25758
22917	193
22917	10819
22917	14286
22917	15580
22917	17131
22917	17439
22917	20478
20940	15161
20940	20949
20940	22879
22879	18215
22879	19051
22879	20940
22879	21125
22879	22144
2656	14560
2656	24251
14560	2656
14560	24251
24251	2656
24251	14560
22832	1941
22832	7350
4351	1098
4351	2912
4351	4483
4351	6218
4351	6264
3630	16817
3630	23939
7715	3630
7715	13142
16703	13202
16703	16703
16703	22253
22253	4128
22253	16703
5738	5478
5738	6538
5738	8349
5738	12042
5738	17252
5738	18142
12042	5738
11604	615
11604	4515
11604	8612
11604	16083
11604	17932
615	2846
615	4515
615	5773
615	8612
615	9306
615	10590
615	11604
615	12308
615	12606
615	13501
615	15814
25286	15552
25286	17337
25286	19219
25286	19557
25286	21634
25286	22177
25286	23841
25034	851
25034	1674
25034	2713
25034	3265
25034	9184
25034	9283
25034	12927
25034	13199
25034	15479
25034	16837
25034	17228
25034	17559
25034	18032
25034	19568
25034	20004
25034	20373
25034	21646
25034	23204
25034	25516
20373	1341
20373	1408
